,file,flag,period
0,flare754456,0.0,7.04584517605
1,flare591006,1.0,20539841.9236
2,flare615516,0.0,16.0684187937
3,flare447595,0.0,118.156715161
4,flare17583,0.0,26.3058186086
5,flare370383,1.0,20539841.9236
6,flare462747,1.0,219.689884202
7,flare415945,0.0,47.2504619623
8,flare542396,0.0,144.59102277
9,flare960520,0.0,5.0868402534
10,flare903776,0.0,21.4740709329
11,flare74595,0.0,80.2957063463
12,flare570462,1.0,331.789183361
13,flare448786,1.0,251.791067711
14,flare938963,0.0,28.1467064215
15,flare760450,1.0,20539841.9236
16,flare485392,0.0,16.8447172485
17,flare953328,1.0,0.133747035331
18,flare748751,0.0,6.02610965773
19,flare659347,0.0,8.51686432902
20,flare577493,0.0,17.4113397833
21,flare257130,0.0,16.4920519908
22,flare609148,0.0,64.8753381877
23,flare618098,0.0,10.6507244752
24,flare220365,0.0,14.173483432
25,flare672353,0.0,32.4447571599
26,flare58618,0.0,19.0949950501
27,flare967801,0.0,18.12016891
28,flare58469,0.0,12.5187504642
29,flare839257,1.0,230.869622659
30,flare241503,1.0,575.815668612
31,flare887052,0.0,10.3284996099
32,flare400805,0.0,15.2517531286
33,flare945054,0.0,12.0409637346
34,flare349139,0.0,46.0717229032
35,flare548986,0.0,46.4047672504
36,flare963202,0.0,19.9054019197
37,flare566801,0.0,9.36084850953
38,flare45851,0.0,29.5481510201
39,flare157421,0.0,67.4071185481
40,flare332211,0.0,30.8943344709
41,flare441391,0.0,10.030915744
42,flare945331,0.0,17.0691683223
43,flare47197,0.0,18.8741605699
44,flare349572,0.0,4.93694676328
45,flare592857,0.0,26.6087169812
46,flare44144,0.0,10.8298874544
47,flare507646,0.0,27.1651515796
48,flare580919,1.0,0.327660902475
49,flare819418,1.0,453.998822183
50,flare44430,0.0,10.9609791559
51,flare752622,0.0,16.4260073026
52,flare63094,1.0,93095.9133768
53,flare416568,1.0,49632.6017443
54,flare253143,0.0,10.6037068659
55,flare375344,0.0,14.6592350097
56,flare850725,0.0,19.5812844001
57,flare817353,0.0,12.8407667928
58,flare900333,0.0,49.7666954327
59,flare897338,1.0,18261040.239
60,flare389761,0.0,7.14553291476
61,flare724818,0.0,28.8942996974
62,flare319271,0.0,9.3213575219
63,flare513372,0.0,30.5678804931
64,flare609049,1.0,1.65852454029
65,flare629040,0.0,13.8496512109
66,flare247089,1.0,358.057698072
67,flare172146,0.0,9.44718961931
68,flare106440,0.0,30.5985751415
69,flare701326,0.0,31.0661142819
70,flare973056,1.0,20539841.9236
71,flare931675,0.0,128.558882679
72,flare417198,0.0,15.6442674433
73,flare760859,0.0,38.9922373294
74,flare567069,1.0,0.532821632496
75,flare675105,0.0,31.6376659697
76,flare4173,0.0,63.330882484
77,flare62351,0.0,53.6391155571
78,flare641968,1.0,0.48106561949
79,flare890239,0.0,21.8334565781
80,flare79970,1.0,-1.0
81,flare240468,0.0,148.278240699
82,flare431137,0.0,13.4452680738
83,flare648677,0.0,64.4966961624
84,flare485962,1.0,0.157434050711
85,flare463836,0.0,31.3297111418
86,flare214510,0.0,36.1308266613
87,flare330751,1.0,1339.95004781
88,flare605543,0.0,24.5848413705
89,flare865527,0.0,35.1265020779
90,flare549106,0.0,25.799571567
91,flare801580,0.0,8.75887285727
92,flare687371,1.0,5799.12768906
93,flare463945,0.0,22.9511703474
94,flare52975,0.0,12.8923064903
95,flare232443,0.0,30.5996696068
96,flare791390,0.0,22.0970183342
97,flare193230,1.0,7493758.0678
98,flare667020,0.0,10.2671345271
99,flare25412,1.0,4799.8047615
100,flare619865,0.0,14.7582449578
